season,team,team_id,gm_played,pts_per_g,opp_pts_per_g,margin,fg_pct,opp_fg_pct,tp_pct,opp_tp_pct,ft_pct,opp_ft_pct,reb_per_g,oreb_per_g,reb_margin,tot_ast,ast_per_g,tot_stl,stl_per_g,tot_blk,blk_per_g
2025,Anderson,AND,28,83.4,75.7,7.8,0.457,0.428,0.346,0.319,0.75,0.716,37.4,11.0,-0.5,421,15.04,319,11.39,98,3.50
2025,Berea,BER,25,78.2,77.3,0.9,0.443,0.433,0.297,0.339,0.739,0.678,38.1,11.7,-0.4,348,13.92,187,7.48,95,3.80
2025,Manchester,MAN,26,76.3,80.5,-4.2,0.448,0.481,0.363,0.33,0.749,0.701,29.0,6.7,-8.7,362,13.92,163,6.27,48,1.85
2025,Franklin,FRA,30,74.9,68.2,6.7,0.452,0.441,0.352,0.331,0.714,0.671,34.4,10.4,0.4,387,12.90,299,9.97,81,2.70
2025,Hanover,HAN,27,73.3,71.0,2.3,0.46,0.438,0.363,0.328,0.722,0.727,34.1,8.1,-0.7,356,13.19,169,6.26,95,3.52
2025,Transylvania,TRA,26,72.4,72.3,0.0,0.432,0.448,0.323,0.341,0.659,0.744,37.5,12.5,4.5,416,16.00,161,6.19,67,2.58
2025,Bluffton,BLU,25,72.2,82.2,-10.0,0.43,0.472,0.3,0.361,0.673,0.736,35.2,9.9,-2.8,294,11.76,156,6.24,66,2.64
2025,Earlham,EAR,25,71.6,84.9,-13.3,0.417,0.471,0.312,0.344,0.722,0.724,34.5,8.2,-5.7,276,11.04,133,5.32,76,3.04
2025,Rose-Hulman,RHIT,27,71.0,68.7,2.3,0.431,0.446,0.355,0.336,0.695,0.699,35.3,11.1,3.3,394,14.59,212,7.85,89,3.30
2025,Mount St. Joseph,MSJ,26,69.3,71.0,-1.7,0.438,0.425,0.327,0.306,0.708,0.737,34.7,8.0,-1.4,311,11.96,124,4.77,70,2.69
